food_name,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g
"Beet greens, raw",26.37,1.61,4.66,0.14
"Cod, Pacific or Alaskan, frozen, wild caught",60.84,14.20,0.52,0.22
"Fennel, bulb, raw",26.89,0.92,5.49,0.14
"Halibut, frozen, wild caught",81.58,19.06,-0.06,0.59
"Lobster, tail only, frozen, wild caught",58.82,12.99,0.89,0.37
"Mahi mahi, frozen, wild caught",83.71,19.79,0.29,0.38
"Parsnips, raw",87.07,1.27,19.29,0.54
"Peppers, banana or Hungarian wax, seeded, raw",23.94,0.72,4.97,0.13
"Peppers, jalapeno, seeded, raw",24.13,0.62,5.08,0.15
"Peppers, poblano, seeded, raw",27.99,1.43,5.14,0.19
"Peppers, serrano, seeded, raw",29.23,0.86,6.14,0.14
"Radicchio, raw",26.37,1.31,4.96,0.14
"Radishes, red, raw",19.60,0.66,4.06,0.08
"Scallops, bay, Patagonian, frozen, wild caught",78.46,16.39,2.28,0.42
"Scallops, sea, frozen, wild caught",66.35,13.51,1.97,0.49
"Sea bass, Chilean, frozen, wild caught",209.39,14.93,0.14,16.57
"Snapper, frozen, wild caught",89.54,20.66,0.44,0.57
"Snow crab, legs only, frozen",69.22,15.54,1.11,0.29
"Squid (calamari), frozen, tubes only",43.91,8.81,0.93,0.55
"Swordfish, frozen, wild caught",151.86,19.24,0.45,8.12
"Tuna, ahi or yellowfin, frozen, wild caught",102.29,24.70,-0.10,0.39
"Turnips, raw",33.98,0.95,7.27,0.12
"Watermelon, seedless, flesh only, raw",3.49,0.87,,
"Watermelon, seedless, rind only, raw",23.90,0.53,3.27,0.97
