food_name,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g
"Beans, Dry, Small Red (0% moisture)",105.52,23.50,,1.28
"Beans, Dry, Medium Red (0% moisture)",111.36,25.50,,1.04
"Beans, Dry, Cranberry (0% moisture)",108.67,24.40,,1.23
"Beans, Dry, Light Tan (0% moisture)",109.92,24.60,,1.28
"Beans, Dry, Black (0% moisture)",110.65,24.40,,1.45
"Beans, Dry, Small White (0% moisture)",109.88,24.50,,1.32
"Beans, Dry, Red (0% moisture)",95.64,21.30,,1.16
"Beans, Dry, Great Northern (0% moisture)",109.96,24.70,,1.24
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0 fat, select, cooked, roasted",176.00,27.70,0.00,6.36
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8 fat, choice, raw",155.00,22.80,0.00,6.39
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0 fat, select, raw",122.00,23.40,0.00,2.48
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0 fat, select, raw",123.00,23.70,0.00,2.41
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8 fat, select, raw",145.00,22.70,0.00,5.32
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8 fat, choice, cooked, grilled",219.00,27.30,0.00,11.40
"Carrots, frozen, unprepared",37.00,0.81,7.92,0.47
"Cheese, dry white, queso seco",326.00,24.50,2.07,24.30
"Cheese, ricotta, whole milk",157.00,7.81,6.86,11.00
"Cheese, swiss",393.00,27.00,1.44,31.00
"Figs, dried, uncooked",249.00,3.30,63.90,0.92
"Lettuce, cos or romaine, raw",17.00,1.24,3.24,0.26
"Melons, cantaloupe, raw",34.00,0.82,8.16,0.18
"Oranges, raw, navels",47.00,0.91,11.80,0.15
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.00,3.38,5.18,0.95
"Pears, raw, bartlett",57.00,0.38,15.10,0.16
"Restaurant, Chinese, sweet and sour pork",260.00,8.88,25.50,13.60
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.00,3.43,4.92,0.08
"Sauce, salsa, ready-to-serve",29.00,1.44,6.74,0.19
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.00,3.36,4.90,1.90
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328.00,13.30,3.37,28.70
"Sausage, Italian, pork, mild, cooked, pan-fried",322.00,18.20,2.15,26.20
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346.00,19.30,2.63,28.10
"Milk, whole, 3.25% milkfat, with added vitamin D",60.00,3.27,4.63,3.20
"Sausage, turkey, breakfast links, mild, raw",169.00,16.70,0.93,10.40
"Sugars, granulated",385.00,0.00,99.60,0.32
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.00,27.10,0.00,11.60
"Ham, sliced, restaurant",121.00,19.60,2.36,3.68
"Cheese, American, restaurant",375.00,17.50,6.35,31.10
"Beans, Dry, Medium Red (0% moisture)",111.36,25.50,,1.04
"Beans, Dry, Red (0% moisture)",95.64,21.30,,1.16
"Beans, Dry, Flor de Mayo (0% moisture)",100.94,23.30,,0.86
"Beans, Dry, Brown (0% moisture)",112.48,25.60,,1.12
"Beans, Dry, Tan (0% moisture)",117.46,26.80,,1.14
"Beans, Dry, Light Tan (0% moisture)",109.92,24.60,,1.28
"Beans, Dry, Carioca (0% moisture)",113.76,25.20,,1.44
"Beans, Dry, Cranberry (0% moisture)",108.67,24.40,,1.23
"Beans, Dry, Light Red Kidney (0% moisture)",109.27,25.00,,1.03
"Beans, Dry, Pink (0% moisture)",104.40,23.40,,1.20
"Beans, Dry, Dark Red Kidney (0% moisture)",115.39,25.90,,1.31
"Beans, Dry, Navy (0% moisture)",109.99,24.10,,1.51
"Beans, Dry, Small White (0% moisture)",109.88,24.50,,1.32
"Beans, Dry, Small Red (0% moisture)",105.52,23.50,,1.28
"Beans, Dry, Black (0% moisture)",110.65,24.40,,1.45
"Beans, Dry, Pinto (0% moisture)",105.96,23.70,,1.24
"Beans, Dry, Great Northern (0% moisture)",109.96,24.70,,1.24
"Broccoli, raw",31.00,2.57,6.27,0.34
"Strawberries, raw",31.00,0.64,7.63,0.22
"Ketchup, restaurant",117.00,1.11,26.80,0.55
"Eggs, Grade A, Large, egg white",55.00,10.70,2.36,0.00
"Eggs, Grade A, Large, egg yolk",334.00,16.20,1.02,28.80
"Eggs, Grade A, Large, egg whole",148.00,12.40,0.96,9.96
"Pork, cured, bacon, cooked, restaurant",500.00,40.90,2.10,36.50
"Butter, stick, unsalted",733.50,,,81.50
"Flour, wheat, all-purpose, enriched, bleached",366.00,10.90,77.30,1.48
"Flour, wheat, all-purpose, enriched, unbleached",358.00,13.10,73.20,1.48
"Flour, wheat, all-purpose, unenriched, unbleached",362.00,12.00,74.60,1.70
"Flour, whole wheat, unenriched",370.00,15.10,71.20,2.73
"Flour, bread, white, enriched, unbleached",363.00,14.30,72.80,1.65
"Flour, rice, white, unenriched",359.00,6.94,79.80,1.30
"Flour, corn, yellow, fine meal, enriched",364.00,6.20,80.80,1.74
"Butter, stick, salted",739.80,,,82.20
"Onions, red, raw",44.00,0.94,9.93,0.10
"Onions, yellow, raw",38.00,0.83,8.61,0.05
"Bananas, overripe, raw",85.00,0.73,20.10,0.22
"Bananas, ripe and slightly ripe, raw",97.00,0.74,23.00,0.29
"Garlic, raw",143.00,6.62,28.20,0.38
"Flour, soy, defatted",366.00,51.10,32.90,3.33
"Flour, soy, full-fat",452.00,38.60,27.90,20.70
"Flour, rice, brown",365.25,7.19,75.50,3.85
"Flour, rice, glutinous",358.00,6.69,80.10,1.16
"Flour, pastry, unenriched, unbleached",358.00,8.75,77.20,1.64
"Onions, white, raw",35.00,0.89,7.68,0.13
"Bananas, overripe, raw",85.00,0.73,20.10,0.22
"Bananas, ripe and slightly ripe, raw",97.00,0.74,23.00,0.29
"Apples, red delicious, with skin, raw",62.00,0.19,14.80,0.21
"Apples, honeycrisp, with skin, raw",60.00,0.10,14.70,0.10
"Apples, granny smith, with skin, raw",59.00,0.27,14.20,0.14
"Apples, gala, with skin, raw",61.00,0.13,14.80,0.15
"Apples, fuji, with skin, raw",65.00,0.15,15.70,0.16
"Soy milk, unsweetened, plain, shelf stable",38.49,3.55,1.29,2.13
"Almond milk, unsweetened, plain, shelf stable",14.56,0.55,0.34,1.22
"Apples, red delicious, with skin, raw",61.79,0.19,14.78,0.21
"Apples, fuji, with skin, raw",64.66,0.15,15.65,0.16
"Apples, gala, with skin, raw",60.95,0.13,14.77,0.15
"Apples, granny smith, with skin, raw",58.87,0.27,14.14,0.14
"Apples, honeycrisp, with skin, raw",60.03,0.10,14.68,0.10
"Mushroom, lion's mane",42.67,2.50,7.59,0.26
"Mushroom, oyster",41.05,2.90,6.94,0.19
"Mushrooms, shiitake",44.10,2.41,8.17,0.20
"Mushrooms, white button",31.22,2.89,4.08,0.37
"Spinach, baby",26.60,2.85,2.41,0.62
"Spinach, mature",27.63,2.91,2.64,0.60
"Tomato, roma",21.96,0.70,3.84,0.43
"Mushroom, lion's mane",42.67,2.50,7.59,0.26
"Mushroom, oyster",41.05,2.90,6.94,0.19
"Mushrooms, shiitake",44.10,2.41,8.17,0.20
"Mushrooms, white button",31.22,2.89,4.08,0.37
"Soy milk, unsweetened, plain, shelf stable",38.49,3.55,1.29,2.13
"Almond milk, unsweetened, plain, shelf stable",14.56,0.55,0.34,1.22
"Spinach, baby",26.60,2.85,2.41,0.62
"Spinach, mature",27.63,2.91,2.64,0.60
"Tomato, roma",21.96,0.70,3.84,0.43
"Flour, 00",357.06,11.40,74.45,1.52
"Flour, spelt, whole grain",363.68,14.48,70.72,2.54
"Flour, semolina, coarse and semi-coarse",356.59,11.73,73.82,1.60
"Flour, semolina, fine",357.81,13.33,71.99,1.84
"Apple juice, with added vitamin C, from concentrate, shelf stable",48.38,0.09,11.36,0.29
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",47.22,0.73,10.34,0.33
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",66.11,0.26,15.62,0.29
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",66.14,0.09,15.84,0.27
"Cranberry juice, not fortified, from concentrate, shelf stable",32.09,0.00,7.26,0.34
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",41.09,0.57,9.10,0.27
"Tomato juice, with added ingredients, from concentrate, shelf stable",23.31,0.86,4.32,0.29
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",46.51,0.81,10.01,0.36
"Mushroom, portabella",32.44,2.75,4.66,0.31
"Mushroom, king oyster",46.40,2.41,8.50,0.31
"Mushroom, enoki",44.44,2.42,8.14,0.25
"Mushroom, crimini",30.20,3.09,4.01,0.20
"Mushroom, maitake",37.62,2.20,6.60,0.27
"Mushroom, beech",39.80,2.18,6.76,0.45
"Mushroom, pioppini",39.21,3.50,5.76,0.24
"Soy milk, sweetened, plain, refrigerated",40.71,2.78,3.00,1.96
"Almond milk, unsweetened, plain, refrigerated",19.33,0.66,0.67,1.56
"Oat milk, unsweetened, plain, refrigerated",48.33,0.80,5.10,2.75
"Carrots, mature, raw",47.99,0.94,10.27,0.35
"Carrots, baby, raw",40.77,0.81,9.08,0.14
"Peppers, bell, green, raw",22.93,0.72,4.78,0.11
"Peppers, bell, yellow, raw",30.77,0.82,6.60,0.12
"Peppers, bell, red, raw",31.33,0.90,6.65,0.13
"Peppers, bell, orange, raw",31.74,0.88,6.70,0.16
"Buttermilk, low fat",42.84,3.46,4.81,1.08
"Yogurt, plain, whole milk",77.95,3.82,5.57,4.48
"Yogurt, Greek, plain, whole milk",93.68,8.78,4.75,4.39
"Cheese, parmesan, grated, refrigerated",403.38,30.14,4.33,29.50
"Cheese, feta, whole milk, crumbled",272.88,19.71,5.58,19.08
"Flour, almond",622.04,26.24,16.25,50.23
"Flour, oat, whole grain",389.13,13.17,69.92,6.31
"Flour, potato",360.78,8.11,79.94,0.95
"Peanut butter, creamy",631.65,23.99,22.70,49.43
"Sesame butter, creamy",697.14,19.71,14.18,62.40
"Almond butter, creamy",645.46,20.79,21.24,53.04
"Flaxseed, ground",545.08,18.04,34.36,37.28
"Strawberries, raw",36.40,0.64,7.96,0.22
"Raspberries, raw",57.34,1.01,12.90,0.19
"Blueberries, raw",63.86,0.70,14.57,0.31
"Grapes, red, seedless, raw",85.92,0.91,20.20,0.16
"Grapes, green, seedless, raw",80.10,0.90,18.60,0.23
"Applesauce, unsweetened, with added vitamin C",51.60,0.27,12.26,0.16
"Cottage cheese, full fat, large or small curd",102.92,11.62,4.60,4.23
"Cream cheese, full fat, block",342.79,5.79,4.56,33.49
"Cream, heavy",343.31,2.02,3.80,35.56
"Cream, sour, full fat",196.41,3.07,5.56,17.99
"Lettuce, iceberg, raw",17.11,0.74,3.37,0.07
"Lettuce, romaine, green, raw",20.77,0.98,4.06,0.07
"Lettuce, leaf, red, raw",17.53,0.88,3.26,0.11
"Lettuce, leaf, green, raw",22.05,1.09,4.07,0.16
"Nuts, pine nuts, raw",688.61,15.70,18.59,61.27
"Nuts, almonds, whole, raw",625.75,21.45,20.03,51.09
"Nuts, walnuts, English, halves, raw",729.56,14.56,10.91,69.74
"Nuts, pecans, halves, raw",750.15,9.96,12.70,73.28
"Oats, whole grain, rolled, old fashioned",381.63,13.50,68.66,5.89
